Kişinin İsmi	Nereden Çıkarıldı?	Kendi İstifa Ederek mi Ayrıldı?	Görevi	Nereye Girdi? (Ya da Girmedi)	Kovulma Gerekçesi 1	Kovulma Gerekçesi 2	Kovulma Gerekçesi 3	Zaman
Özkan Güven	NTVMSNBC	1	Editör	Cumhuriyet				
Hasan Cömert	NTVMSNBC	1	Sanat Editörü	T24				
Neyire Özkan	Doğuş Yayın Grubu 	1	Dergilerden Sorumlu Genel Müdür	Cumhuriyet				
Cem Aydın	Doğuş Yayın Grubu	1	CEO	Kanal D				
Mirgün Cabas	GQ	1	Genel Yayın Yönetmeni	T24				
Gürsel Göncü	NTV Tarih	1	Genel Yayın Yönetmeni	T24				
Murat Toplucu	NTV	1	Program Direktörü	Kanal D				
Burcu Doğan	NTV	1	Program Editörü	T24				
Onur Yazıcıoğlu	NTV	1	Program Editörü	Kanal D				
Mehmet Turgut	NTV	1	Programcı	T24				
Ömer Faruk Aykar	NTV	1	Haber Prodüktörü	T24				
Dilara Eldaş	NTV	1	Dijital Editör	Kanal D				
Nilgün Balkaç	NTV	1	Ankara Temsilcisi	T24				
Çiğdem Anad	NTV	1	Programcı	Kanal D				
Ergün Güven	NTV	1	Muhabir	T24				
Alper Bahçekapılı	Sabah	1	Yazar	T24				
Erdal Erkasap	Sabah	1	Yazı İşleri Müdürü	Kanal D				
Remziye Demirkol	Kanal 24	1	Spiker	T24				
Kutlu Esendemir	Habertürk	1	Röportaj Yazarı	Kanal D				
Işın Eliçin	Yenişafak	1	Yazar	T24				
Mustafa Hoş	Artı 1	1	Haber Yayın Yönetmeni	T24				
Banu Güven	Artı 1	1	Spiker	Kanal D				
Uğur Dündar	Artı 1	1	Spiker	T24				
Özlem Gürses	Artı 1	1	Spiker	Kanal D				
Uğur Tutçuoğlu	Artı 1	1	Program Müdürü	T24				
Haluk Şahin	Artı 1	1	Programcı	T24				
Ece Demirkuran	Artı 1	1	Programcı	Kanal D				
Nihal Kemaloğlu	Akşam	1	Yazar	T24				
Banu Kurt	Akşam	1	Yazı İşleri Müdürü	T24				
Süreyya Üstünel	Akşam	1	Yazı İşleri Müdürü	T24				
Semra Kardeşoğlu	Akşam	1	Yazı İşleri Müdürü	T24				
Deniz Ülkü Arıboğan	Akşam	1	Yazar	T24				
Aras Huseyri	Akşam	0	Muhabir	T24				
Tuğçe Tatari	Akşam	0	Yazar	T24				
Hüsni Mahalli	Akşam	0	Yazar	T24				
Özlem Akarsu Çelik	Akşam	0	Yazar	T24				
Gürkan Hacır	Akşam	0	Yazar	T24				
Selim Gözay	Akşam	0	Yazar	T24				
Çiğdem Toker	Akşam	1	Yazar	T24				
Nergis Bozkurt	Akşam	0	Genel Yayın Koordinatörü	T24				
