Name	From_Where	To_Where	Time	Quit	Job	Source1	Source2	Kaynak_3	Reason1	Reason2	Reason3
Özkan Güven	NTVMSNBC	Unemployed	6/28/2013	1	Editör	http://odatv.com/iste-hukumetin-hedefindeki-gazetecilerin-listesi-2207131200.html					
Hasan Cömert	NTVMSNBC	Altyazı Dergisi	6/28/2013	1	Sanat Editörü	http://odatv.com/iste-hukumetin-hedefindeki-gazetecilerin-listesi-2207131200.html					
Neyyire Özkan	Doğuş Yayın Grubu	Unemployed	6/29/2013	1	Dergilerden Sorumlu Genel Müdür	http://odatv.com/iste-hukumetin-hedefindeki-gazetecilerin-listesi-2207131200.html	http://t24.com.tr/haber/dogus-grubunda-cem-aydinin-ardindan-bir-gezi-istifasi-daha,233080				
Cem Aydın	Doğuş Yayın Grubu	other-sector	6/13/2013	1	CEO	http://odatv.com/iste-hukumetin-hedefindeki-gazetecilerin-listesi-2207131200.html					
Mirgün Cabas	GQ	Artı 1	7/4/2013	1	Genel Yayın Yönetmeni	http://odatv.com/iste-hukumetin-hedefindeki-gazetecilerin-listesi-2207131200.html	http://bianet.org/bianet/medya/148219-mirgun-cabas-dogus-yayin-grubu-ndan-istifa-etti				
Gürsel Göncü	NTV Tarih	#Tarih	7/2/2013	1	Genel Yayın Yönetmeni	http://odatv.com/iste-hukumetin-hedefindeki-gazetecilerin-listesi-2207131200.html	http://t24.com.tr/haber/gursel-goncu-ntv-tarih-kapatilinca-kalmak-benim-icin-kabul-edilemez,233340				
Murat Toklucu	NTV	#Tarih	5/30/2013	1	Program Direktörü	http://odatv.com/iste-hukumetin-hedefindeki-gazetecilerin-listesi-2207131200.html	http://www.evrensel.net/haber/268618/gazeteci-murat-toklucu-parayi-veren-o-medyanin-sahibi-olur				
Burcu Doğan	NTV	other-sector	7/1/2013	1	Program Editörü	http://odatv.com/iste-hukumetin-hedefindeki-gazetecilerin-listesi-2207131200.html					
Onur Yazıcıoğlu	NTV	other-sector	7/1/2013	1	Program Editörü	http://odatv.com/iste-hukumetin-hedefindeki-gazetecilerin-listesi-2207131200.html	https://www.linkedin.com/in/onuryazicioglu				
Mehmet Turgut	NTV	CNNTURK	7/3/2013	1	Programcı	http://odatv.com/iste-hukumetin-hedefindeki-gazetecilerin-listesi-2207131200.html	http://www.agos.com.tr/tr/yazi/5094/direngeziparki-canli-blog				
Ömer Faruk Aykar	NTV	Unemployed	7/3/2013	1	Haber Prodüktörü	http://odatv.com/iste-hukumetin-hedefindeki-gazetecilerin-listesi-2207131200.html	http://www.agos.com.tr/tr/yazi/5094/direngeziparki-canli-blog				
Dilara Eldaş	NTV	self-employed	7/3/2013	1	Dijital Editör	http://odatv.com/iste-hukumetin-hedefindeki-gazetecilerin-listesi-2207131200.html	http://sosyalmedyakulubu.com.tr/direngeziparki/dilara-eldas-ntvden-istifa-etti.html				
Nilgün Balkaç	NTV	Unemployed	7/4/2013	1	Ankara Temsilcisi	http://odatv.com/iste-hukumetin-hedefindeki-gazetecilerin-listesi-2207131200.html	http://t24.com.tr/haber/mirgun-cabas-dogus-yayin-grubundan-istifa-etti-grupla-el-sikisarak-ayriliyoruz,233525				
Çiğdem Anad	NTV	T24	7/4/2013	1	Programcı	http://odatv.com/iste-hukumetin-hedefindeki-gazetecilerin-listesi-2207131200.html	http://t24.com.tr/haber/mirgun-cabas-dogus-yayin-grubundan-istifa-etti-grupla-el-sikisarak-ayriliyoruz,233525				
Ergün Güven	NTV	Unemployed	7/12/2013	1	Muhabir	http://odatv.com/iste-hukumetin-hedefindeki-gazetecilerin-listesi-2207131200.html	http://www.yurtgazetesi.com.tr/yasam/ntvde-bir-istifa-daha-h38362.html				
Alper Bahçekapılı	Sabah	BirGün	6/19/2013	1	Yazar	http://odatv.com/iste-hukumetin-hedefindeki-gazetecilerin-listesi-2207131200.html	http://www.sozcu.com.tr/2013/gunun-icinden/yandas-oldugu-icin-sabahtan-istifa-etti-318052/				
Erdal Erkasap	Sabah	Unemployed	7/10/2013	1	Yazı İşleri Müdürü	http://odatv.com/iste-hukumetin-hedefindeki-gazetecilerin-listesi-2207131200.html	http://www.medyaradar.com/sabah-gazetesinden-sok-ayrilik-hangi-yonetici-posta-ile-anlasti-medyaradar-ozel-haberi-102105				
Remziye Demirkol	Kanal 24	Unemployed	6/28/2013	1	Spiker	http://odatv.com/iste-hukumetin-hedefindeki-gazetecilerin-listesi-2207131200.html	https://eksisozluk.com/entry/34893551				
Kutlu Esendemir	Habertürk	Unemployed	6/20/2013	1	Röportaj Yazarı	http://odatv.com/iste-hukumetin-hedefindeki-gazetecilerin-listesi-2207131200.html	http://odatv.com/haberturkten-sok-ayrilik-2006131200.html				
Işın Eliçin	Yeni Şafak	Diken	7/2/2013	1	Yazar	http://odatv.com/iste-hukumetin-hedefindeki-gazetecilerin-listesi-2207131200.html	https://eksisozluk.com/entry/34960913				
Banu Güven	NTV	Artı 1	7/1/2011	1	Spiker	http://odatv.com/iste-hukumetin-hedefindeki-gazetecilerin-listesi-2207131200.html	http://www.milliyet.com.tr/banu-guven-ntv-den-neden-ayrildigini-anlatti/gundem/gundemdetay/12.07.2011/1413308/default.htm				
Özlem Gürses	Artı 1	Unemployed	7/1/2013	1	Spiker	http://odatv.com/iste-hukumetin-hedefindeki-gazetecilerin-listesi-2207131200.html					
Uğur Tutçuoğlu	Artı 1	Unemployed	7/10/2013	1	Program Müdürü	http://odatv.com/iste-hukumetin-hedefindeki-gazetecilerin-listesi-2207131200.html	http://www.banuguven.com/haber/neden-ayrildim--2/				
Haluk Şahin	Artı 1	Yurt	7/2/2013	1	Programcı	http://odatv.com/iste-hukumetin-hedefindeki-gazetecilerin-listesi-2207131200.html					
Ece Demirkuran	Artı 1	Blog	7/10/2013	1	Yazar	http://odatv.com/iste-hukumetin-hedefindeki-gazetecilerin-listesi-2207131200.html					
Nihal Kemaloğlu	Akşam	BirGün	7/2/2013	1	Yazar	http://odatv.com/iste-hukumetin-hedefindeki-gazetecilerin-listesi-2207131200.html					
Banu Kurt	Akşam	Unemployed	6/28/2013	1	Yazı İşleri Müdürü	http://odatv.com/iste-hukumetin-hedefindeki-gazetecilerin-listesi-2207131200.html					
Süreyya Üstünel	Akşam	Unemployed	7/2/2013	1	Yazı İşleri Müdürü	http://odatv.com/iste-hukumetin-hedefindeki-gazetecilerin-listesi-2207131200.html					
Semra Kardeşoğlu	Akşam	Unemployed	7/2/2013	1	Yazı İşleri Müdürü	http://odatv.com/iste-hukumetin-hedefindeki-gazetecilerin-listesi-2207131200.html					
Deniz Ülkü Arıboğan	Akşam	Türkiye	7/7/2013	1	Yazar	http://odatv.com/iste-hukumetin-hedefindeki-gazetecilerin-listesi-2207131200.html					
