MediaEntity	Type
NTVMSNBC	Traditional Media
Doğuş Yayın Grubu	Traditional Media
Doğan Yayın Grubu	Traditional Media
GQ	Traditional Media
NTV Tarih	Traditional Media
NTV	Traditional Media
Sabah	Traditional Media
Kanal 24	Traditional Media
Habertürk	Traditional Media
Yeni Şafak	Traditional Media
Artı 1	Traditional Media
Akşam	Traditional Media
TRT	Traditional Media
ATV	Traditional Media
Unemployed	None
Altyazı Dergisi	Traditional Media
other-sector	None
#Tarih	Traditional Media
CNNTURK	Traditional Media
self-employed	None
T24	Internet Media
BirGün	Traditional Media
Diken	Internet Media
Yurt	Traditional Media
Blog	New Media
Türkiye	Traditional Media
Milliyet	Traditional Media
Halk TV	Traditional Media
Bugün TV	Traditional Media
Cumhuriyet	Traditional Media
Özgür Düşünce	Traditional Media
Fox TV	Traditional Media
IMC TV	Traditional Media
Sözcü	Traditional Media
